Dataset:,Apex Fish Biomass 
Region:,Alaska
Source:,AFSC
Contact:,andy.whitehouse@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,359.1173
1985,null
1986,null
1987,393.4728
1988,null
1989,null
1990,293.5282
1991,null
1992,null
1993,446.028
1994,null
1995,null
1996,391.0548
1997,null
1998,null
1999,411.2924
2000,null
2001,null
2002,null
2003,485.1464
2004,null
2005,408.3404
2006,null
2007,430.5754
2008,null
2009,478.9
2010,null
2011,483.2099
2012,null
2013,514.325
2014,null
2015,670.0873
2016,null
2017,368.8993
2018,null
2019,362.9675
2020,null
2021,329.577
2022,null
2023,591.0633
