Dataset:,Motile Epifauna Biomass
Region:,Alaska
Source:,AFSC
Contact:,andy.whitehouse@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,490.4939
1985,null
1986,null
1987,125.5934
1988,null
1989,null
1990,676.9843
1991,null
1992,null
1993,952.6036
1994,null
1995,null
1996,1206.4299
1997,null
1998,null
1999,991.1128
2000,null
2001,null
2002,null
2003,1167.7006
2004,null
2005,1455.3325
2006,null
2007,851.6478
2008,null
2009,801.4326
2010,null
2011,1202.304
2012,null
2013,2105.4743
2014,null
2015,729.491
2016,null
2017,1059.3665
2018,null
2019,1501.1117
2020,null
2021,639.7113
2022,null
2023,553.4251
