Dataset:,Multivariate ENSO Index (MEI DecJan)
Region:,Alaska
Source:,AFSC
Contact:,nicholas.bond@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.42
1981,-0.28
1982,-0.44
1983,2.59
1984,-0.38
1985,-0.31
1986,-0.42
1987,0.96
1988,0.64
1989,-1.15
1990,0.13
1991,0.13
1992,1.63
1993,0.91
1994,0.06
1995,0.75
1996,-0.78
1997,-0.83
1998,2.24
1999,-1.17
2000,-1.22
2001,-0.81
2002,-0.07
2003,0.7
2004,0.12
2005,0.1
2006,-0.67
2007,0.61
2008,-1.12
2009,-0.99
2010,1.03
2011,-1.86
2012,-1.12
2013,0
2014,-0.49
2015,0.17
2016,1.9
2017,-0.23
2018,-0.76
2019,0.04
2020,0.22
2021,-1.18
2022,-1.06
2023,-1.11
