Dataset:,Pacific Decadal Oscillation; the leading mode of North Pacific sea surface temperature variability
Region:,global
Source:,
Contact:,Nick.Bond@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.6333
1981,1.1067
1982,0.4
1983,0.8833
1984,1.4967
1985,0.6633
1986,1
1987,1.7433
1988,1.1233
1989,-0.7167
1990,-0.3633
1991,-1.42
1992,0.2067
1993,0.3133
1994,0.7433
1995,-0.5567
1996,0.7933
1997,0.4733
1998,1.7533
1999,-0.46
2000,-1.2867
2001,0.5233
2002,-0.26
2003,1.86
2004,0.0367
2005,0.0333
2006,0.6167
2007,-0.0433
2008,-0.9367
2009,-1.28
2010,0.56
2011,-1.34
2012,-1.55
2013,-0.8
2014,-0.63
2015,1.7533
2016,1.27
2017,0.6633
2018,0.1567
2019,-0.0467
2020,-0.5733
2021,-0.72
2022,-1.8867
2023,-1.3333
