Dataset:,Black-legged kittiwake Reproductive Success
Region:,western and central GOA
Source:,
Contact:,heather renner@fws.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,0.1597
1981,0.8783
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,0
1990,0.005
1991,0
1992,null
1993,null
1994,null
1995,0.1768
1996,null
1997,null
1998,0.0483
1999,null
2000,null
2001,null
2002,0.3758
2003,null
2004,0.0664
2005,0.129
2006,0.4578
2007,0.1787
2008,null
2009,0.0036
2010,0.2192
2011,0
2012,0.0442
2013,0.015
2014,0.5119
2015,0
2016,0.3218
2017,0.2165
2018,0.3525
2019,0.003
2020,null
2021,0.1243
2022,0.68
2023,0
