Dataset:, Copepod Community Size 
Region:,Cook Inlet
Source:,
Contact:,rrhopcroft@alaska.edu
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,0.8595
1999,0.7666
2000,0.5025
2001,0.8055
2002,0.8065
2003,0.8417
2004,0.7261
2005,0.786
2006,0.7952
2007,0.7825
2008,0.649
2009,0.7426
2010,0.6872
2011,0.8241
2012,0.7414
2013,0.7043
2014,0.771
2015,0.8863
2016,0.7723
2017,0.839
2018,0.9339
2019,0.878
2020,0.9115
2021,0.9208
2022,0.8462
2023,0.8521
