Dataset:,Motile epifauna biomass
Region:,Cook Inlet
Source:,
Contact:,andy.whitehouse@noaa.gov
Year,Value
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,5464.1067
1985,null
1986,null
1987,1570.0915
1988,null
1989,null
1990,3042.3879
1991,null
1992,null
1993,4849.2568
1994,null
1995,null
1996,5937.285
1997,null
1998,null
1999,5736.5454
2000,null
2001,10736.2901
2002,null
2003,11119.5659
2004,null
2005,7812.6358
2006,null
2007,7619.1625
2008,null
2009,10455.302
2010,null
2011,7232.0905
2012,null
2013,7273.4285
2014,null
2015,12461.0313
2016,null
2017,6495.6708
2018,null
2019,8112.6175
2020,null
2021,5396.144
2022,null
2023,6436.0364
