Dataset:,Habitat Impacted by Trawls
Region:,Aleutian Islands
Source:,NOAA/NMFS/REFM
Contact:,john.v.olson@noaa.gov
Year,Value
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,null
1988,null
1989,null
1990,null
1991,null
1992,null
1993,null
1994,null
1995,null
1996,null
1997,null
1998,null
1999,null
2000,null
2001,null
2002,null
2003,2.6
2004,2.5
2005,2.3
2006,2.1
2007,2.7
2008,2.6
2009,2.5
2010,2.4
2011,2.3
2012,2.3
2013,2
2014,1.9
2015,1.9
2016,2.3
2017,2.4
2018,2.6
2019,2.7
2020,2.7
2021,null
2022,null
2023,null
