Dataset:,"Steller sea lion non-pup counts, every 1-4 years"
Region:,Aleutian Islands
Source:,NOAA/AFSC/NMML
Contact:,kathryn.sweeney@noaa.gov
Year,Value
1971,367631.4695
1972,277597.8847
1973,213276.0142
1974,166873.1765
1975,134098.7918
1976,111011.1049
1977,93616.9528
1978,81333.97392
1979,72420.3563
1980,65859.98344
1981,59599.21223
1982,53195.08926
1983,45602.15826
1984,37469.24874
1985,29734.04555
1986,23221.17762
1987,18258.67342
1988,14728.81765
1989,12357.7404
1990,10842.95773
1991,9913.093855
1992,9354.053422
1993,8976.75201
1994,8680.929586
1995,8397.630858
1996,8133.790824
1997,7860.821923
1998,7606.790771
1999,7413.396474
2000,7284.869806
2001,7229.875469
2002,7217.280567
2003,7239.917263
2004,7254.251343
2005,7233.459588
2006,7197.900613
2007,7117.538386
2008,7044.962787
2009,6986.673216
2010,6941.444115
2011,6924.685948
2012,6915.032018
2013,6906.034555
2014,6879.619155
2015,6822.554314
2016,6789.228602
2017,6746.788264
2018,6744.352868
2019,6775.811995
2020,6916.564814
2021,7152.085091
2022,7508.091031
2023,null
